State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.03464	1.02252	0.93959	0.92237	0.87708	0.81967	0.74823	0.62767	0.47458	0.35657	0.40633	1.04612	1.47605	1.51368	1.55961	1.60426	1.62850	1.66103	1.69611	1.69675	1.69611
2	0.37030	0.35542	0.37316	0.37832	0.35657	0.33482	0.31078	0.27472	0.24210	0.18601	0.22779	0.40979	0.53399	0.51053	0.51568	0.52026	0.54830	0.52541	0.52827	0.52712	0.52884
3	3.83571	3.79453	3.71012	3.65556	3.62159	3.58659	3.56188	3.56291	3.58453	3.62776	3.57423	3.34158	3.12231	2.94009	2.77744	2.65906	2.50567	2.42228	2.33684	2.27404	2.20816
4	8.69987	8.85822	9.07245	9.20286	9.25254	9.36742	9.33637	9.31774	8.95136	8.58188	8.04784	7.88639	7.55417	7.25610	6.92388	6.68480	6.41157	6.09798	5.87753	5.72540	5.65709
5	2.76521	2.79107	2.83697	2.89128	2.96822	3.00248	3.02899	3.03675	2.97792	2.72189	2.48720	2.54151	2.61651	2.67405	2.68633	2.71930	2.75486	2.76973	2.72642	2.71736	2.71542
6	4.12373	3.78673	3.62710	3.65371	3.40540	3.25464	3.36993	3.05067	3.03293	2.75802	2.76689	2.74028	2.81123	2.88217	3.00633	3.09501	3.22803	3.29898	3.48521	3.45861	3.46748
7	4.98336	4.97672	4.85064	4.60512	4.45251	4.39278	4.01455	4.00128	3.82212	3.66287	3.64296	3.65623	3.63632	3.66287	3.59651	3.47707	3.55006	3.64296	3.58324	3.69604	3.74249
8	3.50722	3.77579	3.42823	3.42823	3.38083	3.01747	3.28604	2.81209	2.92268	3.34924	3.44403	2.63831	2.51193	2.38554	2.36974	2.25915	2.49613	2.27495	2.11697	1.89579	1.88000
9	1.08258	1.09082	1.11963	1.20196	1.20607	1.14844	1.23489	1.29251	1.37484	1.52303	1.46952	1.22254	1.12375	1.04554	0.93851	0.91793	1.01261	1.01261	0.98791	0.97556	0.96321
10	0.72273	0.65585	0.69900	0.69900	0.71410	0.73136	0.69685	0.74431	0.79393	0.87375	0.91043	0.79393	0.72705	0.71626	0.70116	0.66664	0.65585	0.63860	0.66448	0.65585	0.63428
11	1.19490	1.21350	1.35298	1.24604	1.32973	1.34833	1.31579	1.41342	1.50176	1.46457	1.40877	1.73423	1.66914	1.60405	1.62730	1.66449	1.58545	1.61800	1.72494	1.73423	1.68774
12	1.19722	1.19269	1.20674	1.20312	1.19247	1.20561	1.22283	1.25613	1.33158	1.45235	1.55771	1.38981	1.30372	1.34019	1.37984	1.40069	1.41610	1.43286	1.46073	1.47999	1.49268
13	0.43051	0.43445	0.43362	0.43337	0.43877	0.44233	0.44786	0.45308	0.45848	0.46821	0.46554	0.45028	0.43928	0.44379	0.44468	0.44577	0.44596	0.45047	0.44996	0.45276	0.45657
14	2.31169	2.34986	2.33714	2.30745	2.29048	2.31169	2.29896	2.27775	2.29048	2.23534	2.19716	2.12930	2.04022	1.99357	1.93418	1.87480	1.87904	1.86207	1.82814	1.81118	1.82390
15	0.84467	0.83634	0.83383	0.84134	0.84217	0.84551	0.85885	0.88553	0.90554	0.94390	0.96558	0.93723	0.90304	0.88553	0.89804	0.89470	0.87886	0.87886	0.89804	0.90221	0.88887
