State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.18506	2.16590	2.03574	1.94334	1.79459	1.59118	1.31734	1.00688	0.63332	0.33074	0.21467	0.23947	0.36568	0.46541	0.56683	0.70149	0.88067	1.06661	1.25987	1.40412	1.41708
2	0.47523	0.46916	0.45753	0.42012	0.39484	0.37159	0.35035	0.30789	0.24975	0.18503	0.18099	0.19464	0.23205	0.25379	0.26744	0.26036	0.28412	0.31092	0.32204	0.34226	0.35743
3	0.80021	0.71110	0.60470	0.50195	0.43739	0.39556	0.37010	0.35919	0.36100	0.35373	0.35100	0.35646	0.37737	0.40283	0.43375	0.50377	0.62289	0.81112	1.07028	1.36490	1.65316
4	2.50126	2.36687	2.21877	1.95273	1.71961	1.63459	1.56328	1.50295	1.41793	1.42615	1.51118	1.57151	1.61265	1.65105	1.72510	1.90611	2.42720	3.03881	3.76285	4.28395	4.74196
5	2.54194	2.58134	2.65730	2.70241	2.68814	2.65558	2.56364	2.40602	2.31635	2.63731	2.90230	2.83776	2.66586	2.49568	2.39402	2.42486	2.48654	2.53737	2.55678	2.52709	2.53680
6	5.62445	6.61147	8.15466	10.84939	14.62513	18.10320	23.30464	29.98661	36.74691	42.34786	42.63770	35.04704	34.18536	34.17752	33.87202	30.78562	25.73302	19.85790	14.64080	10.88855	8.05283
7	5.64452	6.44167	7.91288	9.93505	13.34638	18.62749	26.30591	37.13776	49.90973	58.24462	61.82007	67.85730	64.68629	55.95282	43.42703	31.53427	22.34948	15.98401	11.76381	8.75105	6.96919
8	9.92197	12.81065	15.93656	19.03456	21.14176	22.94195	23.70947	22.53725	17.86234	5.72153	2.79099	3.92134	8.86140	20.83475	39.49252	53.30793	56.23847	52.09385	43.72087	35.96192	28.17505
9	1.93435	1.79619	1.87618	1.83982	1.87254	1.70165	1.73437	1.47985	1.07626	0.57449	0.42178	0.46904	0.63266	0.67630	0.77811	0.94536	1.43259	1.80709	2.15979	2.48339	2.91971
10	1.81994	1.99335	2.03718	1.98382	2.06005	2.05815	1.96096	1.61412	1.08053	0.60792	0.48786	0.45737	0.56027	0.69748	0.91473	1.36257	1.93999	2.39927	2.70989	2.82042	2.78040
11	2.48880	2.73111	2.84610	3.20341	3.47036	3.71677	3.71267	3.56071	2.52166	2.33274	1.96722	1.57295	1.24029	1.22797	1.25672	1.52778	1.86044	2.23006	2.45595	2.63254	2.52576
12	1.55768	1.49824	1.43700	1.34934	1.21965	1.08135	0.91303	0.72110	0.57580	0.49174	0.43630	0.43050	0.45151	0.51916	0.58761	0.65626	0.75332	0.88181	0.99569	1.08775	1.18162
13	0.37910	0.37005	0.36157	0.35242	0.33995	0.32642	0.30783	0.29199	0.27930	0.27194	0.26475	0.26424	0.26643	0.27334	0.28047	0.29171	0.29912	0.30721	0.31625	0.32254	0.33175
14	3.41701	3.57812	3.84413	4.05020	4.29374	4.56725	4.77332	4.79955	4.73585	4.61971	4.66467	4.79205	4.96815	5.15923	5.23791	5.26039	5.24915	4.94942	4.69089	4.44736	4.21131
15	1.33830	1.30736	1.25802	1.22487	1.20351	1.14017	1.04736	0.93762	0.84187	0.73507	0.64079	0.62238	0.66142	0.71739	0.79841	0.88312	0.93909	1.00612	1.05178	1.12102	1.14091
