State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	5.40960	0.32542	0.34978	1.20851	0.40638	0.21468	1.14736
2	6.02905	0.28031	0.14490	0.70186	0.22782	0.18100	0.33691
3	3.35196	0.04786	4.33655	2.28248	3.57267	0.35101	0.59407
4	1.11137	4.82194	8.94383	2.24667	8.04274	1.51122	2.17184
5	5.33720	3.91201	3.05515	1.32195	2.48754	2.90238	2.65933
6	0.38910	58.01695	7.02571	1.44988	2.76727	42.63899	22.04168
7	0.52002	63.95063	9.48599	1.70782	3.64346	61.81609	25.53872
8	0.21842	0.41336	2.46723	1.94628	3.44450	2.79108	21.35283
9	0.83829	0.00477	1.16378	1.68057	1.46972	0.42179	1.41638
10	1.59944	0.00726	0.71258	1.38626	0.91056	0.48787	1.59859
11	0.74217	0.97099	1.24631	1.33855	1.40897	1.96728	2.42224
12	15.22961	0.15389	1.24407	1.42271	1.55792	0.43632	0.93393
13	54.27195	0.07308	0.38910	0.72418	0.46560	0.26476	0.34119
14	0.81352	8.57610	2.46897	1.11788	2.19747	4.66481	4.83655
15	4.13830	0.05015	0.75732	0.88242	0.96571	0.64081	1.06949
Base	100	0.7078941011	2.4559642969	41.8305652857	0.0009348492	0.0010584483	3.4279491145
