state	H3K4me1	H3K27ac	H3K4me3	DNase	K3K36me3	H3K9me3	H3K27me3
1	0.004028407995949534	0.005634258134161538	8.421505878382755E-4	0.13825978106005749	0.007290852002595072	0.9386047709597912	0.006546600819258739
2	0.0014694033229527299	5.297711243949829E-4	7.888348225494036E-4	0.011133480286496225	0.0019785790155045792	0.8144504485790492	0.005106715367372317
3	0.024859329834249325	0.06791485970889448	0.0013901128158022346	0.05336308739180082	0.600595179419024	0.14466868190358473	0.003905441069196795
4	0.013999902118338826	0.01969658427638502	0.004905791580886238	0.8078514949627246	0.6593464101661435	0.10642255075811853	0.0028591318053324544
5	0.009671892076360869	0.003806417436745428	0.0013898523440092339	0.8008111509517606	0.010613739379677866	0.0783943896888113	0.01346246051844634
6	0.2939411625371042	0.03715469858129593	0.795098920916842	0.9651674264107258	0.03192841284057003	0.0794334407003934	0.08647242757530689
7	0.16708291720566557	0.7374877519739292	0.9834577947201836	0.9997799922932933	0.0949670857058273	0.05507324531252537	0.0013042961127971693
8	0.5739769027674322	0.4715015595002159	0.9511873162630698	0.12504560271182982	0.1542070411656711	0.05186945274307427	0.017823608880721875
9	0.8146499057935169	0.6330215420454454	0.0030877634901322866	3.066110005120519E-4	0.09079679313005784	0.025994147693673166	0.0073559761917989415
10	0.6220749606349167	0.08600169672284973	8.692137770538018E-4	0.08280976884897664	0.014127343886642961	0.006075857388111896	0.01072653613752547
11	0.7246967048458446	0.4425490399371323	0.020787933300388174	0.9308507742250923	0.028300419132347363	0.0944755338676361	0.0026149762119624153
12	0.013976243953546756	0.0320458161852092	0.0010660841315652423	0.03715333847584174	0.029467575000547936	1.539150946723862E-12	0.01120979936209115
13	0.004382021864816212	0.00667430258225806	3.2910023441127655E-4	0.006380932500824295	0.002778086392545377	2.1216285197968983E-14	0.008620210293641455
14	0.017324649607910594	0.010951397449018888	0.009693704434539737	0.5401958089813679	0.005915062362374367	0.15520436293483686	0.6162066923681112
15	0.01141019250823512	0.006584433949565574	0.001438790875951298	0.02461177162534985	0.005268215885819613	0.023397112860330884	0.23790013073607438
