15	7	E	-1.3751268719964702E7	200
probinit	1	0.2033270930616832
probinit	2	0.2615578733590749
probinit	3	0.026519341682506244
probinit	4	0.0
probinit	5	1.3081215333915649E-278
probinit	6	0.0
probinit	7	0.0
probinit	8	0.004202772964487468
probinit	9	0.0075988855260118605
probinit	10	6.859235420869191E-93
probinit	11	3.712967872604112E-279
probinit	12	3.6947824807962922E-31
probinit	13	0.49679403340623635
probinit	14	0.0
probinit	15	1.1521124178554317E-111
transitionprobs	1	1	0.5977775519053892
transitionprobs	1	2	2.6390086764334744E-5
transitionprobs	1	3	0.014428360219224966
transitionprobs	1	4	0.0017187314327414935
transitionprobs	1	5	0.03486847015560047
transitionprobs	1	6	9.567620639161239E-4
transitionprobs	1	7	1.9670091899042422E-4
transitionprobs	1	8	0.0011476080460744624
transitionprobs	1	9	0.006302166134650835
transitionprobs	1	10	0.007766845423328453
transitionprobs	1	11	0.004463956866989863
transitionprobs	1	12	0.3168950595986872
transitionprobs	1	13	6.598952703867309E-8
transitionprobs	1	14	0.0027688432131677963
transitionprobs	1	15	0.010682487944947491
transitionprobs	2	1	2.287131183942924E-5
transitionprobs	2	2	0.6288724287663812
transitionprobs	2	3	0.0
transitionprobs	2	4	0.0
transitionprobs	2	5	5.741018445731457E-6
transitionprobs	2	6	1.6129688868217393E-6
transitionprobs	2	7	0.0
transitionprobs	2	8	1.2751678375061122E-4
transitionprobs	2	9	1.2436049202160705E-5
transitionprobs	2	10	0.002339068795650807
transitionprobs	2	11	0.0
transitionprobs	2	12	0.003342632014402171
transitionprobs	2	13	0.3371070194529597
transitionprobs	2	14	0.0
transitionprobs	2	15	0.028168672838481523
transitionprobs	3	1	0.023927266894077717
transitionprobs	3	2	0.0
transitionprobs	3	3	0.9271228324196275
transitionprobs	3	4	0.018726454026555605
transitionprobs	3	5	0.0
transitionprobs	3	6	2.1677891310403826E-5
transitionprobs	3	7	0.0
transitionprobs	3	8	9.564632667994853E-4
transitionprobs	3	9	0.004355592689223311
transitionprobs	3	10	0.0
transitionprobs	3	11	3.208536997656959E-4
transitionprobs	3	12	0.02440684326278551
transitionprobs	3	13	1.6201584985493897E-4
transitionprobs	3	14	0.0
transitionprobs	3	15	0.0
